Wavelength,LII,Z-Wavelength,Z-LII,,Z-LII2,Z-LII3
977.8968916,2.957340735,13.43936729,-0.889216781,1.035654157,-0.889216781,-1.673785806
828.2087596,0.817357432,3.178624868,-2.354786396,,-1.585569978,5.229046822
863.3649482,1.382276835,4.679496288,-1.585569978,,2.458562374,-4.403609753
888.5187745,0.551581005,3.57343626,-1.877281308,,-0.252671719,0.181051493
881.2189974,32.74652655,5.59177494,2.458562374,,-2.207660675,1.431099296
939.5407584,0.545983962,1.894855738,-3.530686855,,1.235155582,0.61495316
840.2031044,0.661149721,5.606169701,-2.554825306,,-0.35780561,-0.889216781
994.2728922,8.79958506,3.165407658,-0.252671719,,4.001236439,-1.508551955
830.0757166,1.099747773,2.658346415,-2.207660675,,0.156010389,-1.391004682
813.3980125,7.287094636,4.410024643,1.235155582,,3.517087698,1.012673378
898.8939303,3.145327395,0.01173988,-0.35780561,,-1.734313369,0.519649029
857.6352302,143.0333118,3.326922894,4.001236439,,2.898909092,2.517603159
811.8139179,2.108107155,-0.010594845,0.156010389,,3.397364855,-2.445104122
852.6220542,52.7355033,6.379070282,3.517087698,,5.051059246,-1.274965644
950.2552481,0.881432946,1.188144684,-2.758363247,,1.35905838,-0.480015159
968.8466942,2.61753555,2.754587412,-1.734313369,,1.746287465,-1.585569978
914.2478555,9.85803975,3.60630846,2.898909092,,3.643985748,-1.506416917
889.750278,41.63829465,2.227617264,3.397364855,,2.343625546,4.050516129
850.1473741,7.10760465,5.671599388,5.051059246,,3.467323303,0.619116306
900.9528383,40.3939014,1.321436882,1.35905838,,0.902911663,5.697262287
903.1859019,9.1054425,3.462115765,1.746287465,,-0.83697021,2.290271282
860.9782144,42.15831675,3.581863403,3.643985748,,-1.410127997,0.522144198
811.3851379,190.7472225,3.135304451,2.343625546,,-0.503748775,3.850140572
971.4554487,2.607796275,1.755314112,3.467323303,,-0.876047492,0.701460719
983.8182089,0.956951961,5.553911209,-2.853800774,,1.018410444,-1.500378489
972.491907,8.70957279,-2.781823158,0.902911663,,2.340311766,0.153458595
932.2579706,2.85116637,8.164541245,-0.83697021,,0.358624458,-0.386695743
817.515507,262.5182055,-0.160995245,-1.410127997,,1.410093546,-5.42432785
949.1001796,3.720562305,7.22862339,-0.503748775,,3.711975813,3.50571847
941.0935263,2.281371483,5.582602978,-0.876047492,,1.900182366,-2.315597057
802.9381198,3.576480795,1.185791969,1.018410444,,-1.676564097,-0.485660434
817.3410785,5.55569652,2.192605972,2.340311766,,-1.025458217,-1.883802533
1198.939516,2.327658435,-1.507209778,0.358624458,,-0.999889016,-1.40169394
965.4439141,11.951145,0.949460685,1.410093546,,2.173557043,1.670940161
874.7791651,20.21524425,2.1146245,3.711975813,,2.210057974,-0.989092469
830.1066925,12.208254,3.734334946,1.900182366,,-0.402517438,-1.246759534
834.5316672,1.149794292,2.64109087,-1.676564097,,-3.753866196,2.458562374
994.8344999,6.12258234,-3.718276501,-1.025458217,,-0.297928452,0.297391891
809.5569466,3.78450753,5.337974548,-0.999889016,,2.739152908,-2.192135811
815.8457929,36.0445308,7.689023018,2.173557043,,4.488866329,0.113620758
830.2908425,5.764612075,1.725914717,2.210057974,,-0.522762418,1.997752905
941.639837,0.754811763,6.083829403,-2.894576073,,1.036370039,-0.194421649
952.9496109,3.38557785,-1.254218936,-0.402517438,,-2.225074768,2.65513587
892.0128343,9.0069612,3.269791842,-3.753866196,,-0.726408839,-0.508710027
963.4872812,3.651421725,4.080900192,-0.297928452,,0.563230991,0.194419384
946.7337258,8.88606171,5.616474628,2.739152908,,2.046197176,-0.548078656
802.8190112,109.0255785,6.109583378,4.488866329,,2.669828415,-0.619314551
993.3109522,2.2894431,1.784678698,-0.522762418,,-0.406301856,-1.229686856
906.1257448,7.83484932,4.277995586,1.036370039,,0.801404238,-1.78433001
928.1917895,0.730278849,-1.182949543,-2.404245377,,1.905085564,1.333884954
833.8681113,1.359217542,-8.367699623,-2.225074768,,-0.684790015,2.619419098
853.401254,2.348482287,3.184320927,-0.726408839,,5.99105978,2.107781172
836.7676017,8.53388556,4.622772217,0.563230991,,0.447902083,1.922348142
813.1695697,41.9611074,1.969337702,2.046197176,,0.362300277,1.017766118
927.955043,0.624792552,2.512488842,-5.011070251,,2.569251299,-0.252671719
813.1145449,87.1544628,6.621881962,2.669828415,,0.125660777,4.240698814
975.1693083,1.76588466,4.643770695,-0.406301856,,-0.218155026,-1.285810113
851.4681028,14.8572537,5.151269913,0.801404238,,4.355381966,-1.428623796
1004.777296,2.85644838,1.008598566,1.905085564,,2.578551054,0.59005177
1042.149017,2.09920416,5.762074471,-0.684790015,,3.712451458,-1.643463254
901.6453468,0.70981845,1.107478619,-1.482373357,,0.191278338,-1.781827092
805.3397209,29.8643724,2.695533276,5.99105978,,-1.489637256,3.741480827
819.513494,5.53019559,5.926420212,0.447902083,,0.192550421,-4.000612259
906.7354146,4.213907355,6.363931179,0.362300277,,-2.129854202,3.230688334
829.8580782,7.68742707,6.523761272,2.569251299,,1.630712867,-1.0510391
964.2571085,3.522244755,1.122689724,0.125660777,,0.015292764,0.900581598
981.0599178,3.03508578,8.949508667,-0.218155026,,-0.272069693,-1.819857955
